CODGEO;City_Latitude;City_Longitude;Venue;Venue Latitude;Venue Longitude;Venue Category
75101;48.8625262113;2.3363008609099998;Musée du Louvre;48.86084691113991;2.336440086364746;Art Museum
75101;48.8625262113;2.3363008609099998;Palais Royal;48.863235767714464;2.3371267318725586;Historic Site
75101;48.8625262113;2.3363008609099998;Comédie-Française;48.863087901186134;2.336611747741699;Theater
75101;48.8625262113;2.3363008609099998;Vestige de la Forteresse du Louvre;48.86157701632968;2.3335077597365377;Historic Site
75101;48.8625262113;2.3363008609099998;La Clef Louvre Paris  ;48.86397721115658;2.336139678955078;Hotel
75101;48.8625262113;2.3363008609099998;Cour Napoléon;48.861171596228466;2.33508825302124;Plaza
75101;48.8625262113;2.3363008609099998;Place du Palais Royal;48.86252338167935;2.3366876356542288;Plaza
75101;48.8625262113;2.3363008609099998;LouLou;48.86280381272633;2.333500385284424;Italian Restaurant
75101;48.8625262113;2.3363008609099998;Les Arts Décoratifs;48.863077314067475;2.333393096923828;Art Museum
75101;48.8625262113;2.3363008609099998;Place Colette;48.86314532311905;2.3359428401856035;Plaza
75101;48.8625262113;2.3363008609099998;Jardin du Palais Royal;48.86494061245833;2.3377275466918945;Garden
75101;48.8625262113;2.3363008609099998;Cour Carrée du Louvre;48.8603598795578;2.338542938232421;Pedestrian Plaza
75101;48.8625262113;2.3363008609099998;Kosyuen 華修園;48.864163247442406;2.3335674783429994;Tea Room
75101;48.8625262113;2.3363008609099998;La Vénus de Milo (Vénus de Milo);48.85994342850432;2.3372340202331543;Exhibit
75101;48.8625262113;2.3363008609099998;Aesop;48.86415807641022;2.333600926539121;Cosmetics Shop
75101;48.8625262113;2.3363008609099998;Astier de Villatte;48.864094882819536;2.33380824705502;Furniture / Home Store
75101;48.8625262113;2.3363008609099998;Cibus;48.86475655748436;2.3353765904903407;Italian Restaurant
75101;48.8625262113;2.3363008609099998;Sanukiya;48.864713300607484;2.3338051512837406;Udon Restaurant
75101;48.8625262113;2.3363008609099998;Thémaé;48.8635893167855;2.339755524069546;Spa
75101;48.8625262113;2.3363008609099998;Le Labo Paris;48.86385890056086;2.333757938686111;Perfume Shop
75101;48.8625262113;2.3363008609099998;Ellsworth;48.86552791641178;2.337056774451994;French Restaurant
75101;48.8625262113;2.3363008609099998;Christian Louboutin;48.862696690870955;2.3407570303733496;Shoe Store
75101;48.8625262113;2.3363008609099998;Place des Pyramides;48.86392427648161;2.332223653793335;Plaza
75101;48.8625262113;2.3363008609099998;Le Pot de Vins;48.86432169778438;2.3401925360185167;Restaurant
75101;48.8625262113;2.3363008609099998;Nolinski;48.865367258517296;2.3345840934666815;Hotel
75101;48.8625262113;2.3363008609099998;Aux Castelblangeois;48.8622394991043;2.339207225072566;Bakery
75101;48.8625262113;2.3363008609099998;Nodaiwa;48.864354250753394;2.3331572600591257;Japanese Restaurant
75101;48.8625262113;2.3363008609099998;Pavillon des Sessions – Arts d'Afrique, d'Asie, d'Océanie et des Amériques;48.860724043718605;2.3321214143073683;Art Museum
75101;48.8625262113;2.3363008609099998;Le Café Blanc;48.862719;2.339578;Bar
75101;48.8625262113;2.3363008609099998;Rick Owens;48.86519344799056;2.3384852691393654;Boutique
75101;48.8625262113;2.3363008609099998;Fromagerie Danard;48.86329738243539;2.3409480060093655;Cheese Shop
75101;48.8625262113;2.3363008609099998;Jardins du Carrousel (Jardin du Carrousel);48.86205640499456;2.3324446522511044;Garden
75101;48.8625262113;2.3363008609099998;Udon Bistro Kunitoraya (Kunitoraya);48.865884035205355;2.336782068014145;Udon Restaurant
75101;48.8625262113;2.3363008609099998;Restaurant Kunitoraya;48.86611572520175;2.3364669084548946;Japanese Restaurant
75101;48.8625262113;2.3363008609099998;Théâtre du Palais-Royal;48.866005243682785;2.3376850883287545;Theater
75101;48.8625262113;2.3363008609099998;Hôtel Regina;48.86369757864818;2.332413997514548;Hotel
75101;48.8625262113;2.3363008609099998;Hôtel Le Pradey;48.86445923930909;2.3316539948169197;Hotel
75101;48.8625262113;2.3363008609099998;Le Louis;48.86433074917223;2.3413320625761442;French Restaurant
75101;48.8625262113;2.3363008609099998;Place du Louvre;48.859840999999996;2.340822;Plaza
75101;48.8625262113;2.3363008609099998;Verjus Bar à Vins;48.86630556463485;2.3374713957309723;Wine Bar
75101;48.8625262113;2.3363008609099998;Les Fines Gueules;48.865171886388225;2.3406447842717166;French Restaurant
75101;48.8625262113;2.3363008609099998;Pont des Arts;48.85856468168775;2.3376350104808807;Bridge
75101;48.8625262113;2.3363008609099998;La Régalade Saint-Honoré;48.861619829461404;2.341748716653437;French Restaurant
75101;48.8625262113;2.3363008609099998;Télescope;48.86614042697531;2.336305975914001;Coffee Shop
75101;48.8625262113;2.3363008609099998;Olio Pane Vino;48.86466930258046;2.3406910643425047;Italian Restaurant
75101;48.8625262113;2.3363008609099998;Le Salon du Fromage Hisada;48.866248795179175;2.337186337590884;Cheese Shop
75101;48.8625262113;2.3363008609099998;La Rotonde St. Honoré;48.864582528064616;2.332702043747908;French Restaurant
75101;48.8625262113;2.3363008609099998;Boulangerie Aki;48.86621097624904;2.335457623784485;Bakery
75101;48.8625262113;2.3363008609099998;Le Grand Véfour;48.86613492;2.33793892;French Restaurant
75101;48.8625262113;2.3363008609099998;Verjus;48.86639803045864;2.3373547196388245;French Restaurant
75101;48.8625262113;2.3363008609099998;Legrand Filles et Fils;48.866260970474386;2.3395365694081507;Wine Shop
75101;48.8625262113;2.3363008609099998;Caffe dei Fratelli;48.864826184711454;2.333112135529518;Italian Restaurant
